Fortigate Model;ASIC version;CPU model;Number of CPUs/threads for Intel CPUs;Memory (RAM) size (MB);Compact Flash size (MB);Hard disk size (MB);Firewall Throughput (1518/512/64 byte UDP);IPsec VPN Throughput (512 byte);IPS Throughput (Enterprise Mix);NGFW Throughput (Enterprise Mix);Threat Protection Throughput (Ent. Mix);Firewall Latency;Concurrent Sessions;New Sessions/Sec;Firewall Policies;Max G/W to G/W IPSEC Tunnels;Max Client to G/W IPSEC Tunnels;SSL VPN Throughput;"Concurrent SSL VPN Users (Recommended Maximum; Tunnel Mode)";"SSL Inspection Throughput (IPS; avg. HTTPS)";Application Control Throughput (HTTP 64K);Max FortiAPs (Total / Tunnel);Max FortiSwitches;Max FortiTokens;Virtual Domains (Default/Max);Interfaces;Local Storage;Power Supplies;Form Factor;Variants
FortiGate-2500E;CP9;Intel® Xeon® CPU E5-1650 v3 @ 3.50GHz;12;32199;15331;457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-2600F;CP9;Intel® Xeon® Gold 6208U CPU @ 2.90GHz;32;48292;28738;;198/196/140 Gbps;55 Gbps;31 Gbps;27 Gbps;25 Gbps;3.41 μs;24 Million / 40 Million;1 Million / 2 Million;"100;000";"20;000";"100;000";16 Gbps;"30;000";20 Gbps;64 Gbps;4096/2048;196;"20;000";10/500;"4x 100GE QSFP28/40GE QSFP+; 16x 25GE SFP28; 16x 10GE RJ45; 2x 10GE SFP+; 2x GE RJ45";2x 960 GB (2601F);Dual PS;2 RU;DC
FortiGate-2601F;CP9;Intel® Xeon® Gold 6208U CPU @ 2.90GHz;32;48292;28738;953869;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3000D;CP8;Intel® Xeon® CPU E5-2650 v3 @ 2.30GHz;40;64469;15331;457862;;;;;;;;;;;;;;;;;;;;;;;;
Fortigate-3000F;CP9;AMD EPYC 7502P 32-Core;64;129073;28738;;397/389/221 Gbps;105 Gbps;36 Gbps;34 Gbps;33 Gbps;3.92 μs;70 Million / 230 Million;"870;000 / 3 Million";"200;000";"40;000";"200;000";11 Gbps;"30;000";29 Gbps;115 Gbps;4096/2048;300;"20;000";10/500;"6x 100GE QSFP28/40GE QSFP+; 16x 25GE SFP28; 18x 10GE RJ45; 2x GE RJ45";2x 960 GB (3001F);Dual PS;2 RU;DC
FortiGate-3100D;CP8;Intel® Xeon® E5-2660 v3 @ 2.60GHz;unknown;64469;15331;457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3200D;CP8;Intel® Xeon® CPU E5-2670 v3 @ 2.30GHz;48;64468;15331;457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3200F;CP9;Intel® Xeon® Gold 6348 CPU @ 2.60GHz;56;129076;28738;;387/385/178.5 Gbps;105 Gbps;63 Gbps;47 Gbps;45 Gbps;3.42 μs;70 Million;"800;000";"200;000";"40;000";"200;000";11 Gbps;"30;000";29 Gbps;109 Gbps;4096/2048;300;"20;000";10/500;"4x 400GE QSFP-DD; 12x 50GE SFP56; 4x 25GE SFP28; 2x 10GE RJ45";2x 960 GB (3201F);Dual PS;2 RU;—
FortiGate-3300E;CP9;Intel® Xeon® Gold 5118 CPU @ 2.30GHz;unknown;96674;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3400E;CP9;Intel® Xeon® Gold 6130 CPU @ 2.10GHz;64;96674;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3401E;CP9;Intel® Xeon® Gold 6130 CPU @ 2.10GHz;64;96674;15331;2x915724;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3600E;CP9;Intel® Xeon® Gold 6152 CPU @ 2.10GHz;88;96668;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3601E;CP9;Intel® Xeon® Gold 6152 CPU @ 2.10GHz;88;96668;15331;2x915724;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3700D;CP8;Intel® Xeon® E5-2680 V2 CPU @ 2.80GHz;unknown;64469;15331;2x457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3700F;CP9;Intel® Xeon® Gold 6348 CPU @ 2.60GHz;112;258345;28738;;589/589/420 Gbps;160 Gbps;86 Gbps;80 Gbps;75 Gbps;3.56 μs / 1.45 μs;140 Million;"930;000";"200;000";"40;000";"200;000";16 Gbps;"30;000";55 Gbps;190 Gbps;4096/2048;300;"20;000";10/500;"4x 400GE QSFP-DD; 4x ULL 25GE SFP28; 20x 50GE SFP56; 2x 10GE RJ45";2x 1.92TB (3701F);Dual PS;2 RU;—
FortiGate-3800D;CP8;Intel® Xeon® E5-2680 V2 CPU @ 2.80GHz;unknown;64469;15331;2x457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3810D;CP8;Intel® Xeon® E5-2680 V2 CPU @ 2.80GHz;unknown;64469;15331;2x457862;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3960E;CP9;Intel® Xeon® E5-2650 V4 CPU @ 2.20GHz;unknown;256000;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-3980E;CP9;Intel® Xeon® E5-2650 V4 CPU @ 2.20GHz;unknown;256000;15331;;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-4200F;CP9;Intel® Xeon® Gold 6248 CPU @ 2.50GHz;80;387725;28738;;800/788/400 Gbps;210 Gbps;52 Gbps;47 Gbps;45 Gbps;3.02 μs;210 Million / 450 Million;1 Million / 7 Million;"400;000";"40;000";"200;000";16 Gbps;"30;000";50 Gbps;135 Gbps;8192/4096;300;"20;000";10/500;"8x 100GE QSFP28/40GE QSFP+; 18x 25GE SFP28; 2x GE RJ45";2x 1.92TB (4201F);Dual PS;3 RU;DC
FortiGate-4401F;CP9;Intel® Xeon® Gold 6248 CPU @ 2.50GHz;160;387712;28738;1907729;;;;;;;;;;;;;;;;;;;;;;;;
FortiGate-4800F;CP9;Intel® Xeon® Gold 6348 CPU @ 2.60GHz;112;516902;28738;;3.1/3.1/0.93 Tbps;800 Gbps;87 Gbps;77 Gbps;75 Gbps;3.6 μs;280 Million / 1.8 Billion;"915;000 / 25 Million";"400;000";"40;000";"200;000";18 Gbps;"30;000";63 Gbps;180 Gbps;8192/4096;300;"20;000";10/500;"8x 400GE; 12x 200GE QSFP56; 12x 50GE SFP56; 2x 10GE RJ45";2x 1.92TB (4801F);4 PS;4 RU;"DC; NEBS"
